baapiiw'aan	brush dust or
bbaamaajma	spread a story
bbaamaajmaa	spread a story
bbaamaajndaan	spread a story
bbaamaandwe	climb around go
bbaamaandwebtoo	run around climbing
bbaambatoo	go running run
bbaambiza	drive around fly
bbaambo'go	go horseback riding
bbaamdaabaan'go	go for a
bbaamdaabaazo	drag ones family
bbaamendaagot	matter
bbaamendaan	concern oneself with
bbaamenmaa	concern oneself with
bbaamgaa	dance about dance
bbaamgaa'aa	dance smb around
bbaamgaajgan	toy top
bbaamkomii	walk around on
bbaamkozhwe	ride around in
bbaamnaashkawaa	chase smb around
bbaamnigaadoon	carry sth around
bbaamnigaanaa	carry sth an
bbaamoode	crawl around
bbaamoodes'aa	push smb around
bbaamse	walk around go
bbaamtaan	listen to sth
bbaamtawaa	listen to smb
bbaamwebshkige	go bicycling go
bbaamwidoon	carry sth around
bbaamwinaa	carry sth an
bbaamziwin	personal business personal
bbaanendaan	concern oneself with
bbaanenmaa	concern oneself with
bbaatiinat	be many be
bbaatiini	be many be
bbaatiino	be many be
bbagaa	be thin of
bbagiigat	be thin of
bbagiigzi	be thin of
bbagooyaan	cloth bolt of
bbagooyaan	shirt
bbagwayaan	shirt
bbagzi	be thin of
bbakwaanaajiinh	bat flying animal
bbashkbiigndibe	be bald
bbashkjiindbe	be bald
bbashkndibe	be bald
bbashko-	bald hairless
bbashkwaanaajiinh	bat flying animal
bbashkwebiigndibekza	have ones head
bbashnzhewaa	spank smb whip
bbaskaaknese	flash of lights
bbaskiibii	wriggle
bbaskwebiigndibe	be bald
bbenak	behave better
bbigon	flute
bbiig-makii	toad
bbiiwaa	be small be
bbiiwaabiiggaade	have really skinny
bbiiwaabiignike	have really skinny
bbiiwkawe	make small tracks
bbiiwzhiinyi	be small
bbik	flea
bbimse	go walking along
bbimsiniiwaa	throw stones at
bbimweb'ogo	float along on
bboon	be winter
bboonshi	spend winter in
bchi'aa	mistake smb for
bchi-	accidentally by mistake
bchibdoon	grab sth else
bchibnaa	grab sth else
bchichge	do something accidentally
bchinaadaan	hit sth accidentally
bchinaajge	shoot something accidentally
bchinwaa	hit smb by
bchiwdoon	accidentally take sth
bchiwnaa	accidentally take sth
bdagnigo	be paralyzed temporarily
bdagshkam	brood attend to
bdagwaakninjii	clench ones fist
bdak'odza	give oneself a
bdakaabiig'ige	have a wide
bdakaabiigmo	have a wide
bdakaakdabi	sit erect sit
bdakaakgaabwi	stand upright
bdakaakse	land upright in
bdakaakse	land upright in
bdakbase'aan	spear sth
bdakbasewaa	spear sth an
bdakde	stand grow upright
bdakdoon	put sth on
bdakiig'ige	quilt
bdakiig'ignaatik	quilting frame rod
bdakji'gan	fork
bdakjii'aan	grab sth with
bdakjii'gan	dinner fork
bdakjiiwaa	grab sth an
bdaknaa	put sth an
bdaknigo	have a nightmare
bdakshimaa	erect sth an
bdakshin	stand erect of
bdakshka'gan	hay fork pitchfork
bdakshkaa	de deflected turn
bdakshkaa	be deflected turn
bdaksidoon	erect sth stand
bdaksin	stand erect of
bdak'waa	give smb a
bdakza	stand grow upright
bdangbide	change course turn
bdangbiza	change course turn
bdangii	turn off and
bdangkwe'ge	turn the steering
bdangwaanweni	tuck ones tail
bdangzideni	change strategy
btashkaanzhe	Virginia rail a
bdashkanzhiinh	American woodcock
bdignigo	be paralyzed temporarily
bdiknandiwak	thump around while
bdikwaaktoo	thump around 
bdikwewe	be thumping sounds
bdikwewebza	rumble of vehicles
bebaabgaanh	pancake
bebezhik	one by one
bebiikwaagaanh	camel
bebiins	baby
bebkaan	different individually separately
bebkaandaase	wear mismatched socks
bebkaandoon	be different from
bebkaanshimaa	place an things
bebkaanshin	sleep in separate
bebkaansidoon	place things in
bebkaanziwak	be different from
bebngii	little by little
bebzhishak	emptyhanded
bedaadzi	be slow by
bedaagzi	be weak physically
bedaanzhe	be dim shine
bedaanzhe	be dim shine
bedaaskone	be dim shine
bedaaskone	be dim shine
bedaaskonwe	be dim have
bedwewe	talk in a
bedwewe	be low in
bedwewechge	play music at
bedwewetoon	lower the volume
begde	belch burp
begdeshkone	belch from overeating
begish	hope wish
bejbatoo	run slowly
bejbide	fly slowly go
bejbiza	fly slowly go
bejiiwii	be physically weak
bejiiwiimgat	be physically weak
bejiiywii	be physically weak
bejnawzi	be poky be
bejtaa	be slow
bekaa	quietly  2
bekaa	Hang on Just
bekaa-yaa	be quiet quiet
bekaadendam	be at peace
bekaadzi	be a quiet
bekaadzi	be slow by
bekaanak	something else another
bekaanzit	somebody else something
bekgoodenh	padlock
bekish	hope wish
bekish	at the same
bemaabiigniget	manager
bemdaabaazhwenh	taxi driver
bemnaagnekwe	waitress
bengbiigese	run out of
bengde	dry out in
bengdin'ge	knead dough make
bengdinaan	knead sth of
bengkiide	dry out of
bengnaagne	dry dishes by
bengnaagne'gan	dish towel
bengsag'ige	dry the floor
bengshkaan	wear sth until
bengw'aan	dry sth by
bengwaa	dry sth an
bengwaabka'aan	dry sth by
bengwaabkawaa	dry sth an
bengwaakdin	be frozen dry
bengwaakji	be frozen dry
bengwaapkisdoon	airdry sth of
bengwaapkishin	airdry
bengwaapkishmaa	airdry sth an
bengwaapkisin	airdry
bengwaasdoon	dry sth in
bengwaasjige	dry clothes in
bengweg'aan	iron sth dry
bengweniigin	hand towel bath
bengza	dry out in
bengzhew'o	dry oneself off
bengzhewaa	dry smb off
bengzhewdiza	dry oneself off
bepeshaaban	be streaks of
bepeshaabiigmo	be streaks of
bepeshignebik	garter snake
besha	close nearby near
beshaabiigmo	streak across
beshaakbii'ge	vote by marking
beshaakbiiwaa	vote for smb
beshbii'ge	make a mark
beshbii'ge	vote by marking
beshiishknaamag	husk
beshkbiigat	be striped have
beshkbiigzi	be striped have
beshkodaan	cut stripes into
beshkonaa	cut stripes into
beshkwe	common nighthawk a
besho	form a slit
beshwaabmaa	see smb from
beshwaabminaagot	appear to be
beshwaabminaagwat	appear to be
beshwaabminaagzi	have an event
beshwaabndaan	narrowly miss having
beshwat	be close be
beshwendaagot	seem near be
beshwinaagwat	seem near
beshwinaagzi	seem near
beshwizi	be close to
beskaa	be slow move
beskaachge	have ones clock
bewaatenh	lantern
bezhgo	be one in
bezhgon	be one in
bezhgonong	in the same
bezhgoobii'gan	the numeral one
bezhgoogaabwi	stand alone
bezhgoognzhii	horse
bezhgoogzhiiwgamik	stable
bezhgoongzhiiwgamik	stable
bezhgooshkiinzhgwe	have one eye
bezhgooshkiinzhgweyaabi	see out of
bezhgotoon	use the same
bezhgwaabiig	one row one
bezhgwaabik	one dollar onedollar
bezhgwaatik	one bottle one
bezhgwek	one one sheet
bezhik	one  2
bgaakmish	bur oak
bgaan	nut
bgaanaak	black walnut a
bgaanens	peanut
bgaanens	peanut
bgaanensmin'gaawansh	American hazel a
bgaanensmin'gaawansh	beaked hazel a
bgadoonh	button
bgaktaan	hear sth distinctly
bgamaabaawe	arrive all wet
bgamaabkizaawe	arrive drunk
bgamaagan	cudgel club
bgamaagne	arrive walking through
bgamaakshkooza	arrive weighed down
bgamaakwese	arrive ready to
bgamaanmat	the wind comes
bgamaapi	arrive laughing
bgamaawza	arrive with a
bgamat	the storm arrives
bgambatoo	arrive running
bgambide	arrive arrive driving
bgambii	arrive drunk arrive
bgambiisaa	the rain comes
bgambiisaan	the rain comes
bgambiza	arrive arrive driving
bgamdaabii	arrive dragging something
bgamdema	arrive crying
bgamiinwak	arrive in hordes
bgamjiwan	arrive flowing
bgamkande	a crowd arrives
bgamnaabaagwe	arrive thirsty
bgamnaandam	arrive hungry
bgamoomaa	arrive carrying sth
bgamoondaan	arrive carrying sth
bgampo	the snow arrives
bgamse	arrive walking
bgamshtigwaan	hammer
bgamshtigwe'aan	hammer on sth
bgamshtigwe'ge	hammer use a
bgamshtigwewaa	hammer on sth
bgamwewebde	arrive making noise
bgamwewebza	arrive with the
bganch	dimwit idiot
bgand'aan	thresh sth
bgand'igan	thresher farm implement
bgand'igan	threshing stick
bgand'ige	thresh
bgandaanmat	the wind comes
bgandat	be backward be
bgandenmaa	think smb stupid
bgandwaa	thresh sth an
bgandzi	be stupid be
bgashkbidoon	crumble sth
bgashkbinaa	crumble sth an
bgashknani	be rotten
bgashknat	be rotten
bgashkzhaan	cut sth up
bgashkzhwaa	cut sth an
bgaskaasin	be slapped against
bgaskaawganewaa	slap smb on
bgaskdiiyegnaamaa	slap smb on
bgaskdiiyeshin	fall flat on
bgaskdiiyewaa	slap smb on
bgaskiigaashi	be slapped against
bgaskiigaasin	be slapped against
bgaskiingdibe'ge	slap people on
bgaskiingdibewaa	slap smb on
bgaskiingwegnaamaa	slap smbs face
bgaskiingwewaa	slap smb on
bgaskjiignaamaa	slap smb on
bgaskjiiwaa	slap smb on
bgaskjiiyaabaawe	get plastered by
bgaskmisdewaa	slap smb on
bgaskndibe'ge	slap people on
bgaskndibegnaamaa	slap smb on
bgaskndibewaa	slap smb on
bgaskninjiignaamaa	slap smb on
bgaskninjiiwaa	slap smb on
bgaskse	slap against something
bgaskshin	hit something with
bgasksin	hit something with
bgesaan	peach
bgesaan	plum fruit
bgesaanaatik	plum tree
bgesaanmin'gaawansh	American plum the
bgid'aan	put sth down
bgidaabiignaa	loosen the reins
bgidaagshkaan	let sth spring
bgidendaan	give up sth
bgidendiza	give oneself up
bgidenjge	hold a funeral
bgidenmaa	bury smb hold
bgidkwenaa	put smbs head
bgidnaa	allow smb give
bgidnaama	exhale
bgidnaan	let go of
bgidnamwaa	let smb have
bgidnige	donate something 
bgidnise	put wood in
bgidoomaa	set sth an
bgidoondaan	set sth down
bgidsabii	set fishing nets
bgidwaa	set fishing nets
bgidwaa	put sth down
bgii	a few a
bgii	a few a
bgijne	be no longer
bgijwebnaa	drop sth an
bgijwebnaan	drop sth deliberately
bgiw	gum of a
bgiza	swim
bgizhegoode	hang loose
bgizkaa	relax ones body
bgo'aan	patch sth sew
bgo'aan	chop a hole
bgo'ge	patch apply patches
bgo'mawaa	patch something for
bgodkamik	out in the
bgodkana	on a road
bgodoonzhe	have an illegitimate
bgog'ige	chop a hole
bgoj-nishnaabens	elf leprechaun
bgoji'iing	in the wild
bgoji-	untame wild
bgoji-bzhiki	bison buffalo
bgoji-mnoomin	wild rice
bgoji-nini	elf leprechaun
bgoji-zhgaagwinsh	wild onion
bgojiinaa	operate on smb
bgojne	die out in
bgona	with no guidance
bgone'aan	make a hole
bgonebdamwaa	make a hole
bgonebdoon	make a hole
bgonebnaa	make a hole
bgoneboodoon	drill a hole
bgoneboonaa	drill a hole
bgonede	get a burn
bgonega'ge	chop a hole
bgonegnaamaa	knock a hole
bgonegnaandaan	knock a hole
bgonejiishkaan	kick a hole
bgonejiishkwaa	kick a hole
bgonekdaan	cut a hole
bgonekjige	cut a hole
bgoneknaa	cut a hole
bgonenaajge	chop a hole
bgonesga'aan	put a hole
bgoneshewaa	pierce smbs ears
bgoneshkaa	get a hole
bgoneshkaa	get a hole
bgoneshkaan	kick a hole
bgoneshkwaa	kick a hole
bgonewaa	make a hole
bgoneyaa	be a hole
bgoneyaabkaa	be a hole
bgoneyaakde	get a burn
bgoneyaakshkaan	put a longish
bgoneyaakshkawaa	put a longish
bgoneyaakza	get a burn
bgoneyaakzaan	burn a hole
bgoneyaakzwaa	burn a hole
bgonezaan	heat sth causing
bgonezhaan	cut a hole
bgonezhwaa	cut a hole
bgonezi	be a hole
bgonezo	be a hole
bgonezwaa	heat sth an
bgonjiishin	get blisters from
bgonjiishkaa	have ones hands
bgonjiishkaagon	be given blisters
bgosaabmaa	look at smb
bgosendam	hope wish make
bgosenmaa	beg of smb
bgosh'aa	bum something off
bgosh'aa	gain points off
bgoshkaagon	be chafed by
bgoshwe	gain points off
bgoshwe	bum things off
bgoso	mend things made
bgowaa	patch sth an
bgowaa	chop a hole
bgozdeshin	get blisters from
bgozdeshkaagon	be given blisters
bgozhaajge	urinate in ones
bgwaadam	for no reason
bgwaashaagdi	be naked
bgwaashaagdoobi	sit naked
bgwaashaagdoobnaa	strip smb naked
bgwaashaagdoobtoo	run naked
bgwaashaagdoogaabwi	stand naked
bgwaashaagdooshin	lie naked
bgwaji-	in the wilds
bgwi	ash ashes
bgwisendam	hope wish make
bi	be in a
bi-	come and do
bi-dgoshin	arrive here get
bi-maajaa	leave to come
bi-mkawi	come to after
bi-naabi	look in this
bi-nesebza	come running breathlessly
bi-niindaawen	send sth this
bi-yaa	come to stay
biibaagdaandim	there be an
biibaagdaawe	auction things off
biibaagdaawen	sell something at
biibaagi	whoop shout
biibaagmaa	call out to
biibaagmaa	announce smbs intended
biibaagndaan	scream at sth
biibaagndam	shout scream
biichii	put ones boots
biichwebshkaan	throw sth on
biid'amaaza	come singing sing
biidaabiigmawak	come streaming in
biidaabminaagot	be seen approaching
biidaabminaagzi	be seen approaching
biidaaddaan	bring news about
biidaadgaa	come swimming this
biidaadge	come swimming this
biidaadzan	bring something for
biidaagmose	come walking in
biidaagnagii	come through deep
biidaagne	come walking through
biidaajma	bring news
biidaajmaa	bring news about
biidaajndaan	bring news about
biidaakoon'gishin	be positioned facing
biidaanzhe	approach with lights
biidaasa	bring stuff over
Biidaasge	Petoskey Mich
biidaasge	shine in this
biidaasmabi	sit facing this
biidaasmase	come walking this
biidaasmigaabwi	stand facing this
biidaasmishin	lie facing this
biidaasmisin	lie facing this
biidaawnaak	bring a bunch
biidaazbii	belch burp
biidii	Here chickie
biidiins	chick baby chicken
biidmawaa	bring something for
biidoode	come crawling crawl
biidoodebtoo	come scampering this
biidoon	bring sth
biidsa'aa	cough sth an
biidsatoon	cough sth up
biidwaa	bring something for
biidwewdam	come shouting come
biidwewebde	come this way
biidwewebtoo	come running making
biidwewebza	come this way
biidwewegnzhiibtoo	come galloping with
biidwewek'om	come thundering of
biidwewekmigbatoo	come running with
biidwewekzinebtoo	come running with
biidwewemaa	summon smb unintentionally
biidwewenaama	come breathing audibly
biidwewendmawaa	call down something
biidwewesgibtoo	come running with
biidwewezdebtoo	come running making
biig'ige	smash things
biig'omwaa	break something belonging
biigbidmawaa	break something belonging
biigbidoon	break sth with
biigbijge	break things
biigbinaa	break sth an
biigboodoon	break sth up
biigboonaa	break sth an
biigdaabaane	have ones vehicle
biigganaamaa	break sth an
biigganaandaan	break sth by
biigjiibdoon	break sth apart
biigjiibnaa	break sth an
biigjiisak	decaying wood rotten
biigjiisak	decaying wood rotten
biigjiisdoon	break sth by
biigjiishmaa	break sth an
biigkodaan	cut sth up
biigkodmawaa	cut something up
biigkonaa	cut sth an
biigmaa	break sth an
biignaa	take sth an
biignaan	take sth apart
biignaan	change sth into
biigndaan	break sth with
biigndibewaa	break smbs head
biignemaa	break sth an
biignendaan	break sth in
biigsa'aa	break sth an
biigsatoon	break sth by
biigshimaa	break sth an
biigshkaa	break break down
biigshkaa	break break down
biigshkaan	break sth with
biigshkamwaa	break something belonging
biigshkawaa	break sth an
biigsidmawaa	break something belonging
biigsidoon	break sth by
biigw'aan	break sth by
biigwaa	break sth an
biigwaaboode	be broken up
biigwaakde	break from being
biigwaakza	break from being
biigwaakzaan	put sth in
biigwaakzwaa	put sth an
biigwegbidoon	tear up sth
biigwegbinaa	tear up sth
biigzaan	heat sth and
biigzaan	blast sth blow
biigzhaan	destroy sth in
biigzhwaa	destroy sth an
biigzigan	stone quarry
biigzige	blast blast things
biigzwaa	heat sth an
biigzwaa	blast sth an
biijba'diwak	come running this
biijbatoo	come running run
biijbide	come driving come
biijbii'gan	incoming letter
biijbii'mawaa	write a letter
biijbiza	come driving come
biijdibewaa	smash smbs skull
biijdiiyeshin	lie with ones
biijgaa	come dancing dance
biijgaashin	come leaving a
biiji-	towards this direction
biijiingweshin	lie with ones
biijiingwewaa	punch smb in
biijmaagot	smell give off
biijmaagtoo	fart and make
biijmaagwat	smell give off
biijmaagzens	smelt a type
biijmaagzi	smell give off
biijmaamaa	smell smb
biijmaandaan	smell sth
biijmaanjge	smell things
biijnaweshkaagon	be left with
biijndibewaa	smash smbs skull
biijnesdoon	breathe sth in
biijneshin	come through the
biijnesin	come through the
biijpidaan	taste sth detect
biijpogot	be detectable through
biijpogzi	be detectable through
biijpwaa	taste sth an
biijwine	come carrying things
biikokwaawesi	blackbilled cuckoo
biim'aakwaa	fasten sth an
biim'aakwaan	fasten sth crookedly
biimaa	be crooked in
biimaakot	climbing bittersweet a
biimaakot	be crooked in
biimaakzi	be crooked in
biimaatdagnaan	roll sth in
biimaatdagnige	roll things up
biimbatoo	run awkwardly
biimdamo	wind have many
biimdawaabi	be crosseyed
biimdoon	have a crooked
biimdooneshkaa	have a twisted
biimendam	feel slighted
biimgoode	hang crookedly
biimgoodoon	hang sth crookedly
biimgoojin	hang crookedly
biimgoonaa	hang sth an
biimgwebnaa	twist smbs neck
biimiingweshkaa	have a twisted
biimnakwe	roll twine
biimnig'igan	screwdriver
biimnigan	auger
biimshimaa	set sth an
biimshin	be crooked in
biimsidoon	set sth down
biimsin	be crooked in
biimsko'aan	turn sth around
biimskobde	go around in
biimskobdoon	turn sth around
biimskobgiza	spin around turn
biimskobnaa	turn sth an
biimskobtoo	run around in
biimskobtwaadaan	run around in
biimskobtwaanaa	run around in
biimskobza	drive around in
biimskodsiinh	snail
biimskogwewebnaa	twist smbs neck
biimskojwan	be a whirlpool
biimskokaa	go around rotate
biimskokaa	go around rotate
biimskokweni	turn ones head
biimskon'kebnaa	twist smbs arm
biimskonaa	turn sth an
biimskonaan	turn sth around
biimskosdoon	turn sth around
biimskoshkaa	rotate slowly spin
biimskoshkaa	rotate slowly spin
biimskoshmaa	turn sth an
biimskoshmoonaa	turn smb around
biimskosjigan	toy top
biimskowebnaa	flip sth an
biimskowebnaan	flip sth around
biimskowebnige	have ones engine
biimskowebshkaan	turn sth around
biimskowebshkawaa	turn sth an
biimskowebshkigan	bicycle
biimskowebshkige	bicycle pedal on
biimskwa'aan	turn sth around
biimskwaabiignaa	coil sth an
biimskwaabiignaan	coil sth around
biimskwaan'gidoon	talk in circles
biimskwaanmat	blow in a
biimskwaashi	spin around rapidly
biimskwaashmaa	spin smb around
biimskwaasin	spin around rapidly
biimskwaasjigan	propeller of a
biimskwaasjigan	electric fan
biimskwaawnidwak	march around in
biimskwebshkige	bicycle pedal on
biimtagaayaa	be twisted
biimtagnigaa	be twisted of
biimtagnige	roll a cigarette
biimte'gan	spinning wheel
biimte'ge	spin yarn
biimzi	be crooked in
biin'aa	clean sth an
biin'gamgwe	have a clean
biin'kamgat	be a clean
biinaa	bring smb
biinaabminaagot	look clean
biinaabminaagzi	look clean
biinaabwaaza	undergo dialysis
biinaadzi	be a clean
biinaagmi	be clean of
biinaakzige	burn dead grass
biinaan'giingwe	have a clean
biinaatese	be clear give
biinat	be clean
biinchige	do cleaning clean
biind'aan	put sth inside
biindaabkiwebnaa	put sth an
biindaabkiwebnaan	put sth in
biindaagan	pocket
biindaagna'aan	have sth in
biindaagne	get snow in
biindaakwaadaan	fill a pipe
biindaakwaanaa	fill sth an
biindaakwe	fill a pipe
biindaawdoon	cram sth into
biindaawnaa	cram sth an
biindawaa	put sth an
biindgadaasa	bring stuff inside
biindgadmawaa	bring something in
biindgadoon	bring sth inside
biindgajgaade	be brought in
biindganaa	bring smb inside
biindgaza	bring lots of
biindge	come inside a
biindge-wiijiiwaa	accompany smb inside
biindgebde	go flying into
biindgebtoo	run inside a
biindgebza	drive inside fly
biindgedaabaadaan	drag sth inside
biindgedaabaanaa	drag sth an
biindgedema	come inside crying
biindgegwaashkni	enter jumping jump
biindgeknde	rush in of
biindgekweni	poke ones head
